Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,77364,5411,210,0,24244,817,25221,3246,12384,37787,70259,10603,57396,43.895738852,129.0250634
Situation familiale,Couples sans enfants,6911,132,65,0,4605,69,4287,1246,2355,5861,5921,588,6077,50.15650993,128.69606179
Situation familiale,Familles monoparentales,9464,698,8402,1078,588,85,2329,764,3975,18231,2084,1348,9718,37.968102387,107.81580113
Situation familiale,Couples avec enfants,15606,141,341,282,858,37,8992,1269,3469,8724,8541,754,11662,38.89371561,71.855719664
Situation familiale,Conjoint d'étudiant,49,3,1,2,3,0,1,8,26,30,28,5,32,39.103448276,83.206896552
Sexe,Hommes,66020,3158,496,169,16567,423,25039,2385,9800,0,86833,7293,48752,43.044326466,117.5141133
Sexe,Femmes,43374,3227,8523,1193,13731,585,15791,4148,12409,70633,0,6005,36133,43.055299931,123.00948565
Âge,Moins de 20 ans,1598,140,180,0,0,2,1190,145,29,922,998,1920,1897,18.653125,8.5354166667
Âge,De 20 à 24 ans,9556,525,1259,10,0,28,5939,592,359,5083,6295,11378,9253,22.235014941,19.902531201
Âge,De 25 à 29 ans,14430,749,2338,47,0,47,7973,651,804,8011,9600,0,13286,27.133439328,36.722162285
Âge,De 30 à 34 ans,16666,809,2404,162,0,63,8030,704,1240,9294,10810,0,14056,31.990101472,54.995125348
Âge,De 35 à 39 ans,15811,801,1650,275,0,63,6278,782,1718,8370,10230,0,12007,36.995107527,75.805322581
Âge,De 40 à 44 ans,15491,848,897,365,0,114,4467,673,2274,7875,9840,0,9966,41.968614169,106.57583968
Âge,De 45 à 49 ans,13715,880,259,272,0,199,2708,542,2560,6835,8490,0,7262,46.936704731,144.24469821
Âge,De 50 à 54 ans,13160,948,21,173,0,264,1575,376,3102,6304,8262,0,5662,52.045791569,186.8867225
Âge,55 ans et plus,8967,685,11,58,30298,228,2670,2068,10123,17939,22308,0,11496,61.123214153,215.33890725
Âge,35 ans et moins,45381,2376,6547,260,0,150,24477,2257,2743,24975,29739,13298,40990,28.13384143,40.910169244
Âge,36 ans et plus,64013,4009,2472,1102,30298,858,16353,4276,19466,45658,57094,0,43895,50.991494083,162.08222711
Scolarité,Primaire,4267,274,489,62,2393,34,46,392,2609,3706,3813,572,2348,47.244314404,179.8777763
Scolarité,Secondaire I à IV,33635,2535,3924,574,9571,467,74,184,4829,21921,28785,3368,18614,43.520332899,183.1971956
Scolarité,Secondaire V,16280,1834,1604,350,7049,254,121,247,4578,12523,14848,733,11109,47.257937233,160.09528333
Scolarité,Collégiale,5068,708,445,105,2040,77,61,127,1950,4129,4314,120,3820,47.549212365,135.02368826
Scolarité,Universitaire,3833,424,244,71,2035,45,176,547,2958,3055,3597,46,3174,50.061334937,115.47339146
Scolarité,Inconnue,46311,610,2313,200,7210,131,40352,5036,5285,25299,31476,8459,45820,38.553201233,34.536891237
Diplôme maximum obtenu,Aucun diplôme,40834,3033,4638,719,13993,539,204,679,9544,28243,35513,4065,22582,44.570832549,182.42167012
