Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,766,396,18136,35774,21183,2627,5869,34675,44207,1776,49.142960371,286.23921807
Situation familiale,Couples sans enfants,68,28,540,929,1354,125,377,1620,1424,11,54.098883049,313.68363995
Situation familiale,Familles monoparentales,28,29,191,637,747,32,281,1419,245,10,45.471153846,230.78365385
Situation familiale,Couples avec enfants,26,15,111,225,375,23,290,326,449,3,46.656774194,231.85677419
Situation maritale,Adultes seuls,794,425,18327,36411,21930,2659,6150,36094,44452,1786,49.067104512,285.09356144
Situation maritale,Adultes avec conjoint à l’AFDR,61,19,318,716,1272,104,521,1237,1253,10,52.923293173,290.97630522
Situation maritale,Adultes avec conjoint au PRB,26,18,290,348,318,34,80,523,511,3,51.903288201,313.19922631
Situation maritale,Adultes avec conjoint hors Assistance sociale,7,6,43,90,139,10,66,186,109,1,52.166101695,292.0779661
Sexe,Hommes,508,218,10185,22035,11845,1534,3650,0,46325,1129,48.076438208,275.72297895
Sexe,Femmes,380,250,8793,15530,11814,1273,3167,38040,0,671,50.627076761,297.70822818
Âge,Moins de 20 ans,0,0,0,0,0,155,8,54,101,155,18.561290323,12.483870968
Âge,De 20 à 24 ans,7,4,504,659,199,272,98,617,1028,1645,23.273556231,68.939817629
Âge,De 25 à 29 ans,41,30,2215,2405,1046,56,376,2133,3660,0,27.076644226,108.38045917
Âge,De 30 à 34 ans,45,31,2423,2454,1211,75,403,2358,3881,0,31.956082706,157.15723674
Âge,De 35 à 39 ans,74,40,2078,2937,1196,94,511,2445,3974,0,37.048761489,201.34740614
Âge,De 40 à 44 ans,73,44,2135,3765,1667,128,584,3110,4702,0,42.070404506,242.74270353
Âge,De 45 à 49 ans,95,48,2169,4067,2043,237,719,3771,4888,0,47.003695577,280.58055203
Âge,De 50 à 54 ans,113,51,2079,4736,3020,313,938,4922,5390,0,52.137606672,317.6859969
Âge,55 ans et plus,440,220,5375,16542,13277,1477,3180,18630,18701,0,60.123918459,361.08636254
Âge,35 ans et moins,108,72,5568,6059,2669,571,996,5619,9428,1800,29.236126803,129.29574001
Âge,36 ans et plus,780,396,13410,31506,20990,2236,5821,32421,36897,0,53.565870337,319.57319888
Scolarité,Primaire,78,59,3223,2156,1690,174,623,3246,4134,282,47.160704607,300.42398374
Scolarité,Secondaire I à IV,286,174,3834,13267,8712,563,1451,12014,14822,307,50.61231182,309.06558354
Scolarité,Secondaire V,186,87,751,8208,4840,466,1223,6989,7549,65,52.802723896,280.85933416
Scolarité,Collégiale,50,24,31,3438,1378,170,558,2524,2567,0,52.888430564,262.38460027
Scolarité,Universitaire,39,14,6,2120,722,92,613,1441,1552,0,54.825258938,246.98463081
Scolarité,Inconnue,249,110,11133,8376,6317,1342,2349,11826,15701,1146,45.254622734,269.85566898
Diplôme maximum obtenu,Aucun diplôme,423,262,7416,17341,11599,846,2695,16985,20902,623,50.113917703,304.65703276
Diplôme maximum obtenu,Secondaire - DES,115,48,307,5944,2937,300,640,4645,5006,30,51.80748109,271.79649777
Diplôme maximum obtenu,Secondaire - DEP,25,11,82,1509,1075,99,97,1368,1433,1,55.614780436,304.30560514
Diplôme maximum obtenu,Secondaire - ASP,4,4,12,146,105,5,17,109,167,0,55.329710145,296.90217391
Diplôme maximum obtenu,Collégial - AEC,8,4,0,439,253,32,68,376,360,0,54.095108696,248.85869565
Diplôme maximum obtenu,Collégial - DEC général,8,3,6,728,198,24,100,464,503,0,53.059979317,262.72595657
Diplôme maximum obtenu,Collégial - DEC professionnel,8,10,4,716,285,38,89,572,489,0,53.375117813,234.82846371
Diplôme maximum obtenu,Universitaire - Certificat,1,1,0,260,86,13,52,180,181,0,54.260387812,247.4432133
Diplôme maximum obtenu,Universitaire - Baccalauréat,13,5,3,816,260,42,221,585,554,0,54.868305531,232.97102722
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,1,0,136,55,10,55,103,104,0,56.45410628,213.95652174
Diplôme maximum obtenu,Inconnu,278,119,11148,9530,6806,1398,2783,12653,16626,1146,45.826838348,270.24129922
Durée cumulative,Premier mois,0,0,0,0,0,8,0,3,5,6,27.25,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,44,0,13,31,34,27.227272727,3.5681818182
Durée cumulative,De 6 à 11 mois,0,0,0,0,1,43,4,20,24,29,31.068181818,8.5454545455
Durée cumulative,De 12 à 23 mois,0,0,0,4,9,116,6,54,75,80,33,17.945736434
Durée cumulative,De 24 à 47 mois,1,0,1,24,19,283,24,138,190,205,32.759146341,35.298780488
Durée cumulative,De 48 à 119 mois,86,62,2181,3883,2295,522,1169,3555,5474,1446,34.976298593,92.724221951
Durée cumulative,120 mois et plus,801,406,16796,33654,21335,1791,5614,34257,40526,0,51.073225198,310.84667638
Types de diagnostics,Visuel,888,0,0,0,0,0,126,380,508,7,50.995495495,296.31418919
Types de diagnostics,Auditif et de la parole,0,468,0,0,0,0,70,250,218,4,49.925213675,277.22649573
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18978,0,0,0,842,8793,10185,504,44.615396775,304.37232585
Types de diagnostics,Santé mentale,0,0,0,37565,0,0,3250,15530,22035,659,49.450126447,281.99997338
Types de diagnostics,Physique,0,0,0,0,23659,0,2324,11814,11845,199,52.500401539,285.48425546
Types de diagnostics,Autres,0,0,0,0,0,2807,205,1273,1534,427,49.139294621,206.92554328
Région,01 - Bas-Saint-Laurent,19,10,720,1130,781,76,12,1213,1523,55,50.580409357,305.18421053
Région,02 - Saguenay-Lac-Saint-Jean,30,18,868,1321,1031,115,21,1567,1816,86,49.315104936,304.67868756
Région,03 - Capitale-Nationale,76,28,1488,3421,1618,252,207,3010,3873,99,50.235943629,302.45823042
Région,04 - Mauricie,34,22,962,1848,1137,122,67,1913,2212,63,49.88169697,303.24606061
Région,05 - Estrie,61,32,1550,2610,1677,213,222,2766,3377,134,49.12388084,287.1007651
Région,06 - Montréal,245,143,3520,10556,5745,642,4468,9001,11850,401,49.922737519,280.86705674
Région,07 - Outaouais,44,24,911,1675,1160,175,187,1883,2106,78,49.100275758,275.53722738
Région,08 - Abitibi-Témiscamingue,17,8,430,563,449,62,7,706,823,25,49.984303466,305.14650098
Région,09 - Côte-Nord,11,5,234,331,256,26,6,375,488,15,49.614136732,310.4820394
Région,10 - Nord-du-Québec,3,0,44,103,74,14,1,88,150,1,44.739495798,247.07563025
Région,11 - Gaspésie-Îles-de-la-Madeleine,20,8,392,526,480,53,10,680,799,30,50.46112238,311.9168357
Région,12 - Chaudière-Appalaches,34,15,1111,1498,1004,144,42,1749,2057,78,49.173673148,291.63951655
Région,13 - Laval,32,21,750,1279,876,94,599,1396,1656,100,47.854849279,256.84469201
Région,14 - Lanaudière,51,24,1156,1804,1406,186,120,2133,2494,143,47.475470067,275.72768533
Région,15 - Laurentides,34,23,1312,2379,1633,202,158,2593,2990,150,48.28228551,276.52946445
Région,16 - Montérégie,129,72,2809,5204,3452,321,630,5577,6410,289,48.162759656,276.50688246
Région,17 - Centre-du-Québec,47,14,683,1279,862,106,53,1354,1637,52,49.616850552,289.296222
Région,Région inconnue,1,1,38,38,18,4,7,36,64,1,49.79,321.86
