Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,205,115,2525,11513,8822,1277,0,113,180,2692,10154,14303,5976,7336,43.057979311,142.77458396
Situation familiale,Couples sans enfants,16,11,51,238,729,71,836,48,131,502,972,980,33,552,56.910348361,179.04508197
Situation familiale,Familles monoparentales,16,14,48,360,601,22,0,2,16,206,876,185,18,264,44.772855796,154.18190386
Situation familiale,Couples avec enfants,11,9,27,118,252,16,395,3,41,355,417,411,20,270,45.020531401,139.47101449
Situation familiale,Conjoint d'étudiant,1,0,0,3,4,0,0,0,1,3,4,4,1,2,41.5,71.75
Sexe,Hommes,140,67,1394,7513,5461,794,514,92,160,1939,0,15883,3938,5096,42.530315432,134.52269722
Sexe,Femmes,109,82,1257,4719,4947,592,717,74,209,1819,12423,0,2110,3328,46.185462449,159.73219029
Âge,Moins de 20 ans,6,6,391,685,179,237,2,1,14,107,520,986,1506,1479,18.584329349,11.58499336
Âge,De 20 à 24 ans,32,21,1272,2417,638,141,21,9,36,347,1590,2952,4542,964,21.705636284,41.410612065
Âge,De 25 à 29 ans,16,14,242,985,283,43,42,14,15,165,567,1058,0,564,26.910153846,63.048615385
Âge,De 30 à 34 ans,15,15,143,900,325,48,59,6,22,159,581,924,0,513,31.97807309,91.837209302
Âge,De 35 à 39 ans,22,8,119,882,386,39,82,11,22,210,641,897,0,525,37.131989597,122.31859558
Âge,De 40 à 44 ans,24,14,103,1048,645,57,119,12,22,276,913,1097,0,563,42.108955224,143.83532338
Âge,De 45 à 49 ans,19,11,74,1062,836,70,131,7,22,341,1125,1078,0,616,47.001361779,167.42850658
Âge,De 50 à 54 ans,27,16,83,1197,1427,93,170,12,22,430,1477,1536,0,740,52.201792234,196.21307667
Âge,55 ans et plus,88,44,224,3056,5689,658,605,94,194,1723,5009,5355,0,2460,60.6198379,215.89193362
Âge,35 ans et moins,75,57,2075,5137,1493,474,133,37,90,809,3365,6079,6048,3609,24.114887759,50.503917831
Âge,36 ans et plus,174,92,576,7095,8915,912,1098,129,279,2949,9058,9804,0,4815,54.158095642,193.1936168
Scolarité,Primaire,14,23,644,1002,802,138,139,3,63,451,1154,1608,1108,972,38.549239681,134.5249819
Scolarité,Secondaire I à IV,71,45,692,4114,3907,388,430,2,22,715,3969,5678,1419,2673,45.407276874,187.83559656
Scolarité,Secondaire V,64,26,138,2816,2735,290,256,2,27,724,2980,3345,382,1801,49.166956522,159.61090909
Scolarité,Collégiale,21,11,4,1130,770,85,70,1,6,326,1063,1028,54,618,48.6264945,136.02582496
Scolarité,Universitaire,17,9,4,741,488,47,72,2,17,443,696,682,5,434,51.471698113,122.36502177
Scolarité,Inconnue,62,35,1169,2429,1706,438,264,156,234,1099,2561,3542,3080,1926,36.239062756,77.794691136
Diplôme maximum obtenu,Aucun diplôme,105,75,1403,5651,5301,595,636,7,99,1494,5747,8019,2651,4012,44.452927503,174.0836118
Diplôme maximum obtenu,Secondaire - DES,41,19,61,2144,1729,192,151,0,14,399,2139,2198,262,1304,47.944431635,151.40027669
Diplôme maximum obtenu,Secondaire - DEP,8,4,9,492,619,64,52,0,0,76,544,704,15,326,51.786858974,182.06971154
Diplôme maximum obtenu,Secondaire - ASP,1,0,2,32,32,1,3,0,0,1,25,46,0,19,52.802816901,215.64788732
Diplôme maximum obtenu,Collégial - AEC,2,1,0,176,164,12,7,0,0,44,187,175,2,96,50.883977901,140.68508287
Diplôme maximum obtenu,Collégial - DEC général,6,3,1,219,113,13,11,0,1,54,187,179,10,112,47.737704918,137.3989071
Diplôme maximum obtenu,Collégial - DEC professionnel,2,2,0,286,174,21,17,1,1,65,274,228,7,150,49.478087649,121.10756972
Diplôme maximum obtenu,Universitaire - Certificat,2,0,1,68,61,5,8,0,0,29,82,63,0,58,52.8,135.76551724
Diplôme maximum obtenu,Universitaire - Baccalauréat,4,3,2,338,202,16,31,1,6,179,313,283,0,182,51.322147651,114.81040268
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,3,3,0,63,51,1,7,1,0,64,53,75,0,35,51.7890625,95.3828125
Diplôme maximum obtenu,Inconnu,75,39,1172,2763,1962,466,308,156,248,1353,2872,3913,3101,2130,37.644067797,82.984672071
Durée cumulative,Premier mois,1,1,16,13,17,11,4,0,4,6,23,40,42,63,28.174603175,1
Durée cumulative,De 2 à 5 mois,0,3,87,153,108,71,24,1,19,52,170,276,330,446,26.576233184,3.5605381166
Durée cumulative,De 6 à 11 mois,10,7,141,377,205,108,32,18,40,109,331,549,604,880,27.971590909,8.6238636364
Durée cumulative,De 12 à 23 mois,17,7,265,794,417,187,68,27,53,221,676,1079,1116,1755,29.531054131,17.332193732
Durée cumulative,De 24 à 47 mois,42,19,697,1897,1011,255,116,57,190,510,1549,2488,2212,879,32.689868714,36.36437949
Durée cumulative,De 48 à 119 mois,92,59,892,3691,2822,347,379,55,63,1520,3495,4787,1744,1748,41.567858005,75.299203091
Durée cumulative,120 mois et plus,87,53,553,5307,5828,407,608,8,0,1340,6179,6664,0,2653,53.178151522,257.79708791
Types de diagnostics,Visuel,249,0,0,0,0,0,0,5,11,69,109,140,38,81,45.341365462,126.14056225
Types de diagnostics,Auditif et de la parole,0,149,0,0,0,0,0,1,10,40,82,67,27,49,43.046979866,118.52348993
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2651,0,0,0,0,8,43,243,1257,1394,1663,946,28.543191249,94.316861562
Types de diagnostics,Santé mentale,0,0,0,12232,0,0,0,27,36,1316,4719,7513,3102,3515,40.246321125,137.9807881
Types de diagnostics,Physique,0,0,0,0,10408,0,0,101,180,1523,4947,5461,817,2632,51.607513451,173.09166026
Types de diagnostics,Autres,0,0,0,0,0,1386,0,0,5,177,592,794,378,801,44.955988456,101.42857143
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,1231,24,84,390,717,514,23,400,52.125101543,155.95044679
Région,01 - Bas-Saint-Laurent,1,0,98,365,294,48,27,0,0,15,363,470,172,256,44.785114046,163.95798319
Région,02 - Saguenay-Lac-Saint-Jean,5,2,110,385,366,35,35,0,0,14,451,487,209,316,43.089552239,165.03837953
Région,03 - Capitale-Nationale,20,10,136,959,709,119,43,3,16,133,873,1123,374,602,44.577154309,160.53557114
Région,04 - Mauricie,4,7,102,511,456,55,47,0,2,28,508,674,217,347,45.066835871,176.43654822
Région,05 - Estrie,10,7,194,827,649,78,99,0,22,127,819,1045,402,510,43.537017167,150.13304721
Région,06 - Montréal,91,61,600,3403,2723,372,381,110,180,2289,3146,4485,1388,2218,45.344515791,141.83855327
Région,07 - Outaouais,19,5,111,572,480,67,61,3,13,108,594,721,225,360,45.2121673,150.25627376
Région,08 - Abitibi-Témiscamingue,5,1,79,205,196,38,18,0,0,8,255,287,97,196,44.477859779,149.54797048
Région,09 - Côte-Nord,0,1,16,79,102,19,8,0,0,4,103,122,39,75,46.408888889,163.25333333
Région,10 - Nord-du-Québec,0,0,10,55,44,3,8,0,0,0,49,71,30,52,38.925,114.28333333
Région,11 - Gaspésie-Îles-de-la-Madeleine,2,2,49,203,233,28,19,0,1,6,245,291,94,151,45.837686567,172.18843284
Région,12 - Chaudière-Appalaches,5,4,132,475,355,78,38,2,1,24,485,602,251,356,43.322907084,143.78104876
Région,13 - Laval,21,10,144,432,527,59,109,12,65,462,612,690,325,394,46.402457757,104.58141321
Région,14 - Lanaudière,11,7,162,637,673,78,68,5,3,81,744,892,436,476,42.5599022,143.75611247
Région,15 - Laurentides,7,6,191,819,777,96,79,5,8,84,856,1119,488,575,43.489620253,143.89164557
Région,16 - Montérégie,44,21,429,1888,1454,173,154,26,56,350,1885,2278,1093,1231,41.934422292,136.28825366
Région,17 - Centre-du-Québec,4,5,87,402,364,35,36,0,2,23,423,510,199,301,43.062165059,143.59699893
Région,Région inconnue,0,0,1,15,6,5,1,0,0,2,12,16,9,8,39.428571429,137.42857143
