Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,733,386,17569,35260,19912,2990,6121,33270,43580,2071,48.567820429,283.12480156
Situation familiale,Couples sans enfants,61,28,534,875,1306,110,418,1602,1312,5,54.020247083,311.88538092
Situation familiale,Familles monoparentales,29,30,213,595,676,41,238,1341,243,4,45.133207071,228.41729798
Situation familiale,Couples avec enfants,28,14,112,214,374,20,277,314,448,5,46.595800525,230.63254593
Situation maritale,Adultes seuls,762,416,17782,35855,20588,3031,6359,34611,43823,2075,48.498457302,282.01996583
Situation maritale,Adultes avec conjoint à l’AFDR,57,16,267,568,1070,82,497,1019,1041,4,53.195145631,287.66165049
Situation maritale,Adultes avec conjoint au PRB,20,18,289,327,318,28,84,505,495,0,52.437,319.464
Situation maritale,Adultes avec conjoint hors Assistance sociale,12,8,90,194,292,20,114,392,224,6,50.165584416,280.07954545
Sexe,Hommes,484,220,9878,22167,11060,1774,3776,0,45583,1373,47.45242744,273.09332427
Sexe,Femmes,367,238,8550,14777,11208,1387,3278,36527,0,712,50.204643141,294.47030963
Âge,Moins de 20 ans,0,0,0,1,0,348,31,125,224,349,18.498567335,12.100286533
Âge,De 20 à 24 ans,6,2,416,573,140,599,123,587,1149,1736,22.993663594,65.454493088
Âge,De 25 à 29 ans,33,28,2142,2747,931,62,393,2169,3774,0,27.073027091,108.4664311
Âge,De 30 à 34 ans,51,36,2467,2781,1281,82,463,2526,4172,0,32.005822634,158.1755748
Âge,De 35 à 39 ans,71,47,2195,2873,1226,94,524,2454,4052,0,37.03919459,202.96741469
Âge,De 40 à 44 ans,81,37,2100,3662,1558,137,610,2995,4580,0,42.085280528,244.75405941
Âge,De 45 à 49 ans,88,50,2154,4396,2078,218,733,3787,5197,0,47.012911843,281.25723508
Âge,De 50 à 54 ans,111,49,1989,4539,2739,301,919,4637,5091,0,52.108758224,318.18678043
Âge,55 ans et plus,410,209,4965,15372,12315,1320,3258,17247,17344,0,60.30918447,363.8503657
Âge,35 ans et moins,100,73,5480,6653,2602,1108,1103,5890,10126,2085,29.145417083,128.81481019
Âge,36 ans et plus,751,385,12948,30291,19666,2053,5951,30637,35457,0,53.409628711,319.86915605
Scolarité,Primaire,80,61,3265,2270,1619,242,668,3235,4302,361,45.675467693,285.53482818
Scolarité,Secondaire I à IV,275,164,3906,12955,8124,593,1504,11419,14598,324,50.133989315,308.11307991
Scolarité,Secondaire V,177,83,746,8166,4657,465,1269,6781,7513,60,52.616272562,281.07030922
Scolarité,Collégiale,47,28,30,3428,1382,185,563,2532,2568,4,52.936078431,262.14235294
Scolarité,Universitaire,36,17,7,2044,734,93,645,1446,1485,0,54.722961447,244.90242238
Scolarité,Inconnue,236,105,10474,8081,5752,1583,2405,11114,15117,1336,44.443330411,265.48442682
Diplôme maximum obtenu,Aucun diplôme,415,248,7523,17097,10836,949,2800,16258,20810,708,49.397701522,300.85982519
Diplôme maximum obtenu,Secondaire - DES,104,52,311,6012,2890,301,677,4633,5037,37,51.682316443,272.30548087
Diplôme maximum obtenu,Secondaire - DEP,25,11,78,1468,1059,98,105,1330,1409,2,55.864914202,305.09456006
Diplôme maximum obtenu,Secondaire - ASP,3,4,12,133,85,4,16,95,146,0,55.668049793,310.64315353
Diplôme maximum obtenu,Collégial - AEC,7,4,1,443,252,34,70,381,360,0,54.183535762,250.48178138
Diplôme maximum obtenu,Collégial - DEC général,8,3,7,720,205,21,108,461,503,0,53.300829876,266.08609959
Diplôme maximum obtenu,Collégial - DEC professionnel,7,9,4,743,301,47,98,598,513,2,53.593159316,234.32943294
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,243,84,11,57,170,171,0,53.753665689,247.62170088
Diplôme maximum obtenu,Universitaire - Baccalauréat,11,6,4,823,266,44,238,603,551,0,54.618717504,230.05719237
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,2,0,128,62,10,61,108,99,0,56.086956522,211.87922705
Diplôme maximum obtenu,Inconnu,264,118,10488,9134,6228,1642,2824,11890,15984,1336,45.043158499,265.92189854
Durée cumulative,Premier mois,0,0,0,0,0,11,0,3,8,10,20.454545455,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,69,9,24,45,66,19.739130435,3.7971014493
Durée cumulative,De 6 à 11 mois,0,0,0,2,0,108,8,43,67,95,23.2,8.5545454545
Durée cumulative,De 12 à 23 mois,0,0,0,3,3,213,18,91,128,179,25.328767123,17.374429224
Durée cumulative,De 24 à 47 mois,1,1,10,18,13,355,24,157,241,287,29.266331658,35.648241206
Durée cumulative,De 48 à 119 mois,88,64,1996,3950,2142,770,1331,3544,5466,1448,34.728745838,92.987680355
Durée cumulative,120 mois et plus,762,393,16422,32971,20110,1635,5664,32665,39628,0,50.663397563,309.12403691
Types de diagnostics,Visuel,851,0,0,0,0,0,135,367,484,6,51.071680376,297.83901293
Types de diagnostics,Auditif et de la parole,0,458,0,0,0,0,83,238,220,2,49.751091703,273.01091703
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18428,0,0,0,929,8550,9878,416,44.406283916,302.68157152
Types de diagnostics,Santé mentale,0,0,0,36944,0,0,3280,14777,22167,574,48.856756172,279.73151256
Types de diagnostics,Physique,0,0,0,0,22268,0,2378,11208,11060,140,52.47512125,286.06120891
Types de diagnostics,Autres,0,0,0,0,0,3161,249,1387,1774,947,43.910787725,172.03479911
