Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,728,371,17385,34939,19482,3071,6123,32727,43249,2117,48.461619459,282.81286196
Situation familiale,Couples sans enfants,61,28,537,856,1281,108,399,1593,1278,6,53.947753396,314.0390108
Situation familiale,Familles monoparentales,32,29,205,609,695,50,253,1374,246,4,45.420987654,228.51481481
Situation familiale,Couples avec enfants,29,15,118,221,360,21,279,307,457,2,46.781413613,231.58638743
Situation maritale,Adultes seuls,760,400,17590,35548,20177,3121,6376,34101,43495,2121,48.398139079,281.67926182
Situation maritale,Adultes avec conjoint à l’AFDR,58,15,256,548,1023,78,470,983,995,2,53.132962588,289.43983822
Situation maritale,Adultes avec conjoint au PRB,18,19,290,317,300,26,86,487,483,1,52.380412371,320.7257732
Situation maritale,Adultes avec conjoint hors Assistance sociale,14,9,109,212,318,25,122,430,257,5,50.537117904,283.72925764
Sexe,Hommes,486,210,9788,22091,10817,1838,3765,0,45230,1384,47.348485518,272.77399956
Sexe,Femmes,364,233,8457,14534,11001,1412,3289,36001,0,745,50.125135413,294.38498931
Âge,Moins de 20 ans,0,0,0,1,0,376,37,133,244,377,18.514588859,12.25464191
Âge,De 20 à 24 ans,7,2,365,562,136,680,123,612,1140,1752,22.971461187,65.090753425
Âge,De 25 à 29 ans,36,24,2101,2761,891,76,394,2123,3766,0,27.109696043,108.82713534
Âge,De 30 à 34 ans,51,39,2417,2826,1276,78,495,2513,4174,0,32.017197547,158.18199492
Âge,De 35 à 39 ans,73,44,2244,2862,1241,96,521,2481,4079,0,37.013262195,202.95731707
Âge,De 40 à 44 ans,73,40,2113,3638,1533,139,609,2970,4566,0,42.079750531,244.92515924
Âge,De 45 à 49 ans,97,50,2135,4426,2054,215,736,3760,5217,0,47.034755486,281.47944748
Âge,De 50 à 54 ans,102,47,1980,4465,2674,304,898,4534,5038,0,52.077204346,318.54366903
Âge,55 ans et plus,411,197,4890,15084,12013,1286,3241,16875,17006,0,60.344116171,364.96325374
Âge,35 ans et moins,104,74,5396,6691,2559,1231,1137,5886,10169,2129,29.163749611,128.82148863
Âge,36 ans et plus,746,369,12849,29934,19259,2019,5917,30115,35061,0,53.3617129,320.17142813
Scolarité,Primaire,79,61,3248,2256,1603,262,667,3219,4290,339,45.454388068,284.17698761
Scolarité,Secondaire I à IV,276,155,3888,12872,7964,599,1506,11248,14506,335,50.080375864,308.26178458
Scolarité,Secondaire V,184,79,735,8093,4557,475,1272,6691,7432,59,52.580542378,280.87460171
Scolarité,Collégiale,51,27,32,3385,1348,185,548,2489,2539,3,52.911893397,262.90930788
Scolarité,Universitaire,32,16,8,2008,726,90,646,1428,1452,0,54.767361111,245.64791667
Scolarité,Inconnue,228,105,10334,8011,5620,1639,2415,10926,15011,1393,44.287080233,264.74522882
Diplôme maximum obtenu,Aucun diplôme,417,239,7484,16954,10604,971,2800,16030,20639,696,49.297253811,300.6084431
Diplôme maximum obtenu,Secondaire - DES,109,50,309,5992,2865,314,684,4606,5033,37,51.689490611,272.65432099
Diplôme maximum obtenu,Secondaire - DEP,26,9,74,1453,1034,101,103,1300,1397,2,55.87690026,305.35150167
Diplôme maximum obtenu,Secondaire - ASP,3,4,11,131,85,4,16,92,146,0,55.449579832,310.33193277
Diplôme maximum obtenu,Collégial - AEC,8,4,1,442,249,35,70,375,364,0,54.115020298,250.96887686
Diplôme maximum obtenu,Collégial - DEC général,9,3,8,703,194,20,106,449,488,0,53.218783351,267.05442903
Diplôme maximum obtenu,Collégial - DEC professionnel,7,9,4,742,294,49,101,595,510,1,53.564705882,233.99457014
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,231,83,10,56,165,162,0,53.758409786,251.79816514
Diplôme maximum obtenu,Universitaire - Baccalauréat,11,6,5,812,262,45,240,595,546,0,54.602979842,230.69500438
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,3,1,0,130,61,11,60,108,98,0,56.305825243,213.62621359
Diplôme maximum obtenu,Inconnu,255,117,10349,9035,6087,1690,2818,11686,15847,1393,44.883884793,265.25899829
Durée cumulative,Premier mois,0,0,0,0,0,10,0,1,9,10,18,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,80,8,34,46,73,21.025,3.35
Durée cumulative,De 6 à 11 mois,0,0,1,0,0,110,12,37,74,98,22.234234234,8.8468468468
Durée cumulative,De 12 à 23 mois,0,0,0,5,2,226,22,95,138,204,23.339055794,17.605150215
Durée cumulative,De 24 à 47 mois,0,1,7,19,9,376,33,160,252,295,29.148058252,35.097087379
Durée cumulative,De 48 à 119 mois,93,58,1892,3930,2075,835,1346,3445,5438,1449,34.686592367,93.130023641
Durée cumulative,120 mois et plus,757,384,16345,32671,19732,1613,5633,32229,39273,0,50.575214679,308.92319096
Types de diagnostics,Visuel,850,0,0,0,0,0,134,364,486,7,50.997647059,297.17529412
Types de diagnostics,Auditif et de la parole,0,443,0,0,0,0,82,233,210,2,49.564334086,274.1738149
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18245,0,0,0,944,8457,9788,365,44.458426966,303.1143875
Types de diagnostics,Santé mentale,0,0,0,36625,0,0,3286,14534,22091,563,48.751071672,279.45329693
Types de diagnostics,Physique,0,0,0,0,21818,0,2346,11001,10817,136,52.457787148,286.71624347
Types de diagnostics,Autres,0,0,0,0,0,3250,262,1412,1838,1056,42.968,166.39692308
Région,01 - Bas-Saint-Laurent,15,7,668,1083,706,96,19,1122,1453,64,50.005825243,300.64194175
Région,02 - Saguenay-Lac-Saint-Jean,29,12,813,1278,931,124,23,1454,1733,85,48.747411359,301.2667085
Région,03 - Capitale-Nationale,65,26,1397,3200,1524,266,231,2805,3673,134,49.587527015,299.77029948
Région,04 - Mauricie,35,17,922,1761,1021,117,69,1761,2112,71,49.252001033,302.73095791
Région,05 - Estrie,59,30,1475,2542,1527,244,243,2585,3292,138,48.616641143,286.17968351
