Diagnostic;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09
Visuel;879;884;887;888;888;887;883;882;881;885;880;875;875;873;872;876;872;870;864;868;#REF!
Auditif et de la parole;464;469;468;468;467;469;471;468;468;471;468;465;463;460;459;458;458;454;452;453;
Intellectuel et d'apprentissage;18836;18951;18971;18978;18983;18966;18946;18921;18902;18893;18878;18857;18825;18789;18763;18746;18723;18676;18625;18605;
Santé mentale;37384;37522;37508;37565;37619;37617;37618;37590;37591;37556;37573;37537;37529;37495;37432;37412;37374;37348;37297;37255;
Physique;23597;23608;23649;23659;23681;23657;23586;23546;23498;23474;23450;23389;23340;23211;23150;23093;23014;22944;22863;22787;
Autres;2706;2772;2783;2807;2831;2822;2822;2821;2821;2830;2836;2836;2829;2850;2860;2878;2884;2888;2914;2925;
TOTAL;83866;84206;84266;84365;84469;84418;84326;84228;84161;84109;84085;83959;83861;83678;83536;83463;83325;83180;83015;82893;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Visuel;1,05%;1,05%;1,05%;1,05%;1,05%;1,05%;1,05%;1,05%;1,05%;1,05%;1,05%;1,04%;1,04%;1,04%;1,04%;1,05%;1,05%;1,05%;1,04%;1,05%;
Auditif et de la parole;0,55%;0,56%;0,56%;0,55%;0,55%;0,56%;0,56%;0,56%;0,56%;0,56%;0,56%;0,55%;0,55%;0,55%;0,55%;0,55%;0,55%;0,55%;0,54%;0,55%;
Intellectuel et d'apprentissage;22,46%;22,51%;22,51%;22,50%;22,47%;22,47%;22,47%;22,46%;22,46%;22,46%;22,45%;22,46%;22,45%;22,45%;22,46%;22,46%;22,47%;22,45%;22,44%;22,44%;
Santé mentale;44,58%;44,56%;44,51%;44,53%;44,54%;44,56%;44,61%;44,63%;44,67%;44,65%;44,68%;44,71%;44,75%;44,81%;44,81%;44,82%;44,85%;44,90%;44,93%;44,94%;
Physique;28,14%;28,04%;28,06%;28,04%;28,04%;28,02%;27,97%;27,96%;27,92%;27,91%;27,89%;27,86%;27,83%;27,74%;27,71%;27,67%;27,62%;27,58%;27,54%;27,49%;
Autres;3,23%;3,29%;3,30%;3,33%;3,35%;3,34%;3,35%;3,35%;3,35%;3,36%;3,37%;3,38%;3,37%;3,41%;3,42%;3,45%;3,46%;3,47%;3,51%;3,53%;
